IP, 203.113.172.154, 178.63.94.144, 106.186.31.97, 81.89.0.195, 80.237.226.73, 195.35.109.61, 31.31.79.101, 23.92.21.74, 85.229.222.127, 77.66.46.24, 92.243.29.87, 81.89.0.196, 178.140.104.18, 173.230.129.153, 38.229.0.28, 128.2.211.115, 69.164.198.150, 74.208.69.194, 142.4.213.18, 188.138.9.208, 69.64.48.168, 94.199.51.101, 118.98.221.69, 188.40.153.242, 71.19.157.213, 95.143.172.212, 193.90.12.88, 192.99.15.122, 217.16.181.20, 216.17.105.203, 192.254.168.26, 188.226.191.18, 193.25.173.21, 217.70.191.13, 81.86.158.27, 173.255.213.147, 91.121.82.16, 81.2.197.33, 162.244.25.35, 81.218.235.162, 95.143.172.231, 141.138.196.120, 149.20.54.218, 84.45.76.13, 88.208.205.138, 109.236.85.155, 37.221.161.235, 87.106.142.179, 149.154.152.13, 195.154.78.89
203.113.172.154, ,350.956445,87.411285,380.863305,333.123565,380.92554,375.36097,247.639655,326.664095,316.366675,346.03536,374.881145,199.49639,281.26097,260.24651,248.82984,229.250905,269.91594,260.926845,334.30803,238.94668,301.92805,41.24701,348.587035,180.48454,299.60084,361.96625,261.942025,357.522365,216.76362,200.966475,306.6535,340.791585,346.200945,324.696535,181.02789,326.440565,382.36594,251.351355,333.99928,286.163565,333.76503,201.10715,238.11436,303.12144,341.15851,319.807405,302.2151,382.47812,304.59177
178.63.94.144, ,,256.24454,31.906605,12.94506,36.75699,18.76283,92.106575,37.29498,41.83281,20.122885,36.78215,49.31247,122.59269,109.99143,111.30822,123.389845,119.129545,93.860625,13.42964,119.78614,20.97166,204.120875, 'ERROR',155.326485,7.31372,32.899615,98.88935,11.90746,165.261745,156.919605,20.766015,5.38659,39.910555,59.442645,157.04942,13.453605,43.52915,98.83308,73.385595,6.37031,11.499285,163.167,23.8924,24.624465,44.081085,38.48684,14.251595,12.90703, 'ERROR' 
106.186.31.97, ,,,283.048635,252.81823,287.12523,282.248735,170.707345,280.58243,261.347535,253.669025,294.337515,144.465205,159.05667,181.10466,186.07163,148.00132,164.05106,171.787505,254.970905,151.273015,276.50654,203.531025,240.850805,118.23392,266.196015,288.329595,171.26811,298.66397,122.299555,127.63453,260.42116,256.725195,253.056645,279.507755,107.307075,251.28496,293.58518,174.872035,315.186385,257.171865,255.533575,111.13692,260.436415,268.73052,299.40689,275.44951,268.057705,304.500345,250.379925
81.89.0.195, ,,,,40.0976,62.236905,34.337995,122.72108,62.062625,43.14363,44.61992,0,71.79248,138.824935,130.27298,138.2314,161.20756,153.935315,148.73803,213.761445,153.052445,32.07195,253.743765,31.616085,189.143055,29.51396,59.722895,146.195175,130.595325,195.29247,195.607185,35.728575,30.572885,35.69818,82.5442,187.684175,37.73212,40.90416,133.39365,94.30122,30.300255,38.271065,186.92351,56.55861,50.261505,49.747825,1.89912,31.90589,49.70754,32.23371
80.237.226.73, ,,,,,26.477935,16.96634,99.463575,32.807585,14.500135,20.52855,39.13689,48.68651,161.23175,98.359105,102.19526,120.39173,128.681655,120.620015,10.738135,126.348975,26.90852,309.217815,16.588805,151.55947,6.305815,36.661145,96.424585,14.19496,172.647475,161.46696,59.54194,5.050425,21.290065,45.837995,150.429485,11.99663,26.915545,102.88847,52.58584,5.82302,9.521485,169.168115,24.52254,28.4239,11.619565,31.39364,9.665015,22.022965,17.88044
195.35.109.61, ,,,,,,38.49208,106.22168,11.48152,17.93182,34.7358,59.61132,48.256045,127.92992,116.880415,123.153685,133.69178,131.296875,112.030505,28.104665,139.47904,51.802395,266.791465,34.79695,171.398525,29.130585,109.721545,112.531905,37.374855,183.272,159.833075,23.134825,33.12957,41.126245,63.359855,175.729755,29.93154,26.29042,121.07432,92.40806,29.564975,24.6501,180.94599,36.517985,37.28497,23.869035,55.622695,46.813495,41.294335,41.79156
31.31.79.101, ,,,,,,,110.527515,42.792555,25.20895,42.21296,37.05013,72.757485,123.488905,109.94446,133.39245,127.67994,142.33064,120.211005,43.729425,134.875535,15.255095,268.12696,14.77146,160.543085,11.671665,118.74306,103.72973,4.037145,173.61188,161.736255,39.391875,19.38868,46.62442,58.53069,160.27331,19.938945,12.234565,115.639095,90.525865,9.785895,31.38959,184.463145,33.44858,38.525585,28.900865,42.37056,24.994495,10.406495,43.51688
23.92.21.74, ,,,,,,,,124.764555,97.25142,98.76991,123.224495,143.900035,21.87157,8.347035,14.594195,40.67517,47.518375,11.158345,91.779955,45.52293,105.1966,270.808455,89.94246,68.502905,88.249565,127.164605,10.94878,104.948045,81.56586,55.92013,85.53052,91.176035,107.43463,114.39168,69.089055,76.40111,100.35515,22.95589,131.004335,85.54101,82.80706,68.87651,86.75182,83.038575,91.388585,113.600975,96.37392,111.69696,78.27091
85.229.222.127, ,,,,,,,,,18.236395,58.415535,59.757355,29.584885,133.202675,120.72563,122.17367,145.880105,146.11995,121.98138,41.413075,145.90108,60.95814,389.19103,46.425225,172.52218,34.390925,24.73545,125.213625,34.45399,174.249415,172.87433,25.44189,35.66241,52.72746,81.78413,174.50345,43.34092,33.134575,128.55899,111.977585,36.009555,26.580335,177.58107,51.816945,50.510995,30.984515,60.79364,53.37667,44.630055,48.753505
77.66.46.24, ,,,,,,,,,,33.37801,57.815315,36.731605,121.83535,109.46226,126.474375,141.77251,123.76798,99.368575,21.70384,123.610615,31.190875,328.96793,36.164515,161.37218,17.63308,21.527055,104.182245,15.72454,164.03377,147.08758,10.8695,15.690445,26.892545,58.817985,161.608695,19.457455,13.9544,104.658365,78.943015,20.244485,16.24906,167.20903,29.1425,29.18267,27.368545,46.102165,13.547895,26.660565,27.18508
92.243.29.87, ,,,,,,,,,,,41.04209,60.053945,115.0186,95.35253,108.642585,126.82092,141.1395,94.625715,14.146325,123.94309,36.803605,234.426495,12.22158,152.696605,14.892935,58.056475,102.289555,32.476065,156.63898,152.524475,17.36068,14.75835,4.48549,46.17512,145.477295,20.999075,36.758065,98.69933,62.79707,16.714575,17.903565,161.654115,11.40702,15.93483,15.360475,41.7943,15.916345,26.383045,2.795455
81.89.0.196, ,,,,,,,,,,,,75.401545,139.76717,129.277465,147.78972,159.67798,155.50005,138.99398,214.167,164.34443,29.828785,242.357135,43.481945,189.721105,32.419205,88.80603,146.32332,133.167865,199.676035,193.960785,38.15758,35.81238,39.24298,85.83748,189.2556,42.1195,39.885045,135.830515,93.256,34.412505,40.48896,192.889445,46.8384,50.797105,52.211525,1.65069,33.44965,53.87771,0
178.140.104.18, ,,,,,,,,,,,,,160.136465,162.41849,150.249355,171.830535,160.776615,141.20889,65.515045,172.80936,71.189645,256.684665,71.5909,195.202465,54.746395,66.13207,136.276,64.40902,231.63307,185.708045,65.17935,68.5333,53.46894,101.146695,210.547095,55.03798,69.26393,154.00112,103.615645,48.754575,75.10161,225.383405,81.602695,85.91306,53.539515, 'ERROR',73.613645,43.590425,78.98843
173.230.129.153, ,,,,,,,,,,,,,,10.640145,41.53812,17.581585,46.61798,14.54115,115.040425,29.886965,142.79747,239.34054,111.3075,56.549785,108.23548,215.91711,23.61739,110.628245,46.45383,62.364105,99.22564,116.234425,107.38445,116.471055,54.702045,90.342645,129.847165,48.13003,158.74756,100.204945,46.83805,60.19497,94.46847,114.798785,104.676485,135.40602,90.248105,114.80188,102.62692
38.229.0.28, ,,,,,,,,,,,,,,,19.37031,33.30839,38.190125,26.921035,89.22899,30.06495,140.87594,238.523955,114.657525,76.774355,95.72875,209.760075,27.026535,113.328575,61.899895,56.342605,89.49697,90.801115,94.680545,113.109235,76.743725,82.79192,114.290835,25.693535,128.768805,92.80205,89.873435,71.82789,90.310095,107.56337,99.454875,126.51705,97.160815,109.04598,81.578855
128.2.211.115, ,,,,,,,,,,,,,,,,41.505575,49.54671,21.81208,106.73034,21.98911,130.62644,281.590945,110.292555,72.99793,95.250965,134.937645,22.43733,132.09653,75.95491,47.26267,84.93793,104.59792,97.30196,132.699605,72.97504,88.42897,0,30.66301,157.719015,94.7529,88.739515,66.245085,117.16187,111.39238,93.04059,0,104.56884,106.233125,104.417445
69.164.198.150, ,,,,,,,,,,,,,,,,,7.142075,39.46447,126.963495,31.15356,136.53851,263.9482,117.42198,39.118885,122.20299,147.362475,38.20348,127.273555,35.83765,59.73756,107.39649,123.027445,124.690885,148.21946,42.46056,114.45486,132.67553,37.28962,171.968705,119.111775,112.68604,38.491965,123.08812,116.64486,127.980825,152.26674,121.2064,131.489635,126.18506
74.208.69.194, ,,,,,,,,,,,,,,,,,,31.94702,127.733585,32.38499,135.201575,289.618965,125.364065,60.46164,126.32465,137.312535,31.46291,138.92794,59.008005,48.192505,110.761885,131.517175,132.5686,138.293625,54.06105,112.831,140.373475,28.5604,177.638055,124.63248,111.406565,66.16307,108.727095,104.070425,141.71708,154.334785,129.727125,143.73684,106.487985
142.4.213.18, ,,,,,,,,,,,,,,,,,,,117.359045,68.619605,111.902955,270.100585,100.60954,67.246435,96.96603,136.836415,0.06104,101.713535,79.29706,71.45179,81.95007,88.59205,86.484075,117.070915,69.51439,83.486085,105.423685,23.018595,138.70848,92.31472,89.1,68.246965,88.78064,101.474285,95.342395,126.14405,94.113585,118.0048,80.79743
188.138.9.208, ,,,,,,,,,,,,,,,,,,,,119.838005,20.79487,352.371935,12.25913,162.847635,6.5974,37.657615,111.948485,22.162315,145.48349,145.927075,18.636225,7.93553,13.703585,50.312995,168.497925,14.25874,20.741695,102.22137,64.255005,5.846625,12.078875,162.59098,13.506415,23.34356,11.494875,35.59303,9.00448,19.26625,7.76982
69.64.48.168, ,,,,,,,,,,,,,,,,,,,,,136.6961,241.227985,122.38371,61.246155,111.639385,138.789415,66.898345,131.647105,61.30934,32.23324,108.282445,129.72295,122.351645,132.82836,59.179665,135.987995,135.90896,28.41949,171.14663,112.792725,92.32807,46.2451,108.91986,125.70786,115.692615,149.655575,116.448045,137.759565,104.99847
94.199.51.101, ,,,,,,,,,,,,,,,,,,,,,,308.648945,18.371585,169.32404,19.909145,60.356135,103.694195,23.897405,199.48208,191.411495,48.018095,22.258395,10.076045,68.26806,169.857505,30.119895,12.41112,129.42696,84.671615,24.328825,30.094025,185.63748,46.10538,48.25592,32.080295,31.60095,34.522535,8.85594,48.209665
118.98.221.69, ,,,,,,,,,,,,,,,,,,,,,,,238.127825,301.55397,281.1873,295.488,292.36794,268.65077,193.042995,242.838625,226.29154,315.527565,243.455415,284.89613,209.529995,296.363355,363.12544,272.948865,292.938475,276.566985,257.2881,294.549345,233.420725,290.50351,282.71139,335.3045,281.306865,260.69355,250.07248
188.40.153.242, ,,,,,,,,,,,,,,,,,,,,,,,,156.116605,6.4615,47.614925,94.37823,12.285825,159.35016,155.146,11.91545,8.175495,10.912415,56.47266,154.53076,16.090035,35.194635,100.001935,65.20355,8.31246,12.37106,161.602015,23.953675,25.86305,43.235665,23.738505,8.05664,12.558935,6.04391
71.19.157.213, ,,,,,,,,,,,,,,,,,,,,,,,,,149.997825,182.62744,66.912055,157.787325,16.406055,39.0904,149.024485,166.226505,202.20792,174.279805,2.46215,150.87271,160.86304,68.61162,215.209845,149.596575,147.666935,3.136515,142.84599,142.944455,148.581385,176.321035,149.73832,162.977455,133.090025
95.143.172.212, ,,,,,,,,,,,,,,,,,,,,,,,,,,44.168355,97.73589,6.573555,151.455525,156.973485,6.632925,5.76794,10.04636,54.506655,149.894,7.439615,20.74635,107.882975,62.222005, 'ERROR',6.31142,152.52805,14.2591,17.515425,7.96044,28.80287,1.69039,13.013005,21.659615
193.90.12.88, ,,,,,,,,,,,,,,,,,,,,,,,,,,,138.355135,46.64421,185.909985,166.909455,27.954225,37.430165,45.02273,79.724555,183.89607,41.35799,39.9971,122.584465,79.914565,36.913035,41.924955,178.01296,41.09752,51.64099,46.84365,64.31938,37.55498,47.72067,33.4295
192.99.15.122, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.438835,80.324055,70.662495,83.07445,97.128275,133.640765,113.699915,69.36514,82.3158,103.624465,22.870545,140.82539,93.35399,90.192435,69.563515,91.410995,112.27429,96.10784,116.942045,97.44978,118.00551,94.08331
217.16.181.20, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.99706,160.816555,32.994035,13.111955,31.741145,55.24111,155.14994,18.574475,6.68037,113.83605,69.13007,8.295055,25.60699,170.10749,24.105065,22.953635,22.695065,31.842475,15.853885,15.854595,21.867035
216.17.105.203, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12804,162.478205,157.56905,152.720325,181.77235,13.42118,147.578595,171.11242,83.10151,208.934195,157.09531,147.317055,15.122415,178.22683,174.967885,155.11501,192.672135,177.806375,172.987105,153.700115
192.254.168.26, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5131,167.72639,156.363005,178.48015,22.066235,149.6613,160.6555,70.853945,213.22799,161.674975,147.36092,23.788095,147.27413,167.40835,147.32671,193.633085,161.46803,166.74805,144.480585
188.226.191.18, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65204,74.194785,35.18116,150.49779,10.413885,32.724025,93.12856,70.15896,11.618615,5.3519,163.900495,16.196015,18.949385,6.605265,48.198575,20.574925,26.05092,15.378355
193.25.173.21, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.284995,55.47786,164.77049,12.529735,23.88203,104.22253,47.36614,7.186415,11.616465,148.971315,28.586865,27.42005,9.56344,35.62367, 'ERROR',11.66653,26.300305
217.70.191.13, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.999435,146.07799,6.885885,29.08779,103.08898,70.76228,11.86359,18.652325,158.65386,21.578905,11.269095,7.79283,51.83053,45.24052,26.5454,0
