192.41.136.219 planetlab2.csg.uzh.ch
129.63.159.101 planetlab1.cs.uml.edu
158.130.6.253 planetlab2.cis.upenn.edu
203.178.133.11 planetlab1.dojima.wide.ad.jp
192.52.240.213 planetlab1.cs.pitt.edu
193.167.187.186 planetlab4.hiit.fi
193.137.173.217 planet1.housing.ua.pt
192.38.109.144 amigos14.distlab.ekstranet.diku.dk
192.91.235.230
128.111.52.64 planet4.cs.ucsb.edu
128.36.233.154 pl2.cs.yale.edu
147.229.8.26 planetlab1.fit.vutbr.cz
128.8.126.111 salt.planetlab.cs.umd.edu
128.208.4.199 planetlab03.cs.washington.edu
156.56.250.227 pl2.ucs.indiana.edu
128.119.247.251 planetlab1.cs.umass.edu
129.10.120.193 planetlabone.ccs.neu.edu
131.179.150.70 planetlab1.cs.ucla.edu
206.23.240.28 planetlab1.tsuniv.edu
137.165.1.114 planetlab4.williams.edu
152.66.245.161 planetlab1.tmit.bme.hu
165.91.55.10 planetlab3.tamu.edu
140.247.60.123 lefthand.eecs.harvard.edu
212.199.61.205 planetlab2.mta.ac.il
128.111.52.63 planet3.cs.ucsb.edu
198.133.224.147 planetlab3.wail.wisc.edu
130.253.21.123 planetlab2.cs.du.edu
200.129.132.18 h-200-129-132-18.pop-pa.rnp.br
62.108.171.76 ple2.tu.koszalin.pl
130.194.252.8 pl1.eng.monash.edu.au
128.2.211.115 planetlab-3.cmcl.cs.cmu.edu
